config_id,pyeong,expansion,space_name,space_order,window_type,std_width,std_height,quantity,recommend_product_id,note
apt-30-nexp-bedroom2,30,비확장형,침실2,4,이중창,1400,1200,1,lx-vf80-d,
apt-30-nexp-alpharoom,30,비확장형,알파룸,5,이중창,1200,1200,1,lx-vf80-d,
apt-30-nexp-kitchen,30,비확장형,주방,6,슬라이딩,2000,1200,1,lx-vf70-s,
apt-30-nexp-utility,30,비확장형,다용도실,7,슬라이딩,1400,1000,1,lx-vf70-s,
apt-30-nexp-frontbalcony,30,비확장형,앞발코니,8,슬라이딩,3600,1200,1,lx-vf70-s,
apt-30-nexp-rearbalcony,30,비확장형,뒷발코니,9,슬라이딩,2800,1200,1,lx-vf70-s,
apt-30-exp-livingroom,30,확장형,거실,1,이중창,3400,2200,1,lx-vf80-d,
apt-30-exp-masterroom,30,확장형,안방,2,이중창,1800,1400,1,lx-vf90-d,
apt-30-exp-bedroom1,30,확장형,침실1,3,이중창,1400,1200,1,lx-vf80-d,
apt-30-exp-bedroom2,30,확장형,침실2,4,이중창,1400,1200,1,lx-vf80-d,
apt-30-exp-alpharoom,30,확장형,알파룸,5,이중창,1200,1200,1,lx-vf80-d,
apt-30-exp-kitchen,30,확장형,주방,6,슬라이딩,2000,1200,1,lx-vf70-s,
apt-30-exp-utility,30,확장형,다용도실,7,슬라이딩,1400,1000,1,lx-vf70-s,
apt-30-exp-masterbalcony,30,확장형,안방발코니,8,시스템창호,2800,2000,1,lx-smartbalcony,
apt-30-exp-turningdoor,30,확장형,터닝도어,9,폴딩도어,3000,2200,1,lx-vf100-fd,
apt-40-nexp-livingroom,40,비확장형,거실,1,슬라이딩,3600,2200,1,lx-vf80-d,
apt-40-nexp-masterroom,40,비확장형,안방,2,이중창,2000,1600,1,lx-vf90-d,
apt-40-nexp-bedroom1,40,비확장형,침실1,3,이중창,1600,1400,1,lx-vf80-d,
apt-40-nexp-bedroom2,40,비확장형,침실2,4,이중창,1600,1400,1,lx-vf80-d,
apt-40-nexp-bedroom3,40,비확장형,침실3,5,이중창,1400,1200,1,lx-vf80-d,
apt-40-nexp-kitchen,40,비확장형,주방,6,슬라이딩,2200,1200,1,lx-vf70-s,
apt-40-nexp-utility,40,비확장형,다용도실,7,슬라이딩,1600,1000,1,lx-vf70-s,
apt-40-nexp-dressroom,40,비확장형,드레스룸,8,이중창,1200,1200,1,lx-vf80-d,
apt-40-nexp-balcony,40,비확장형,발코니(전체),9,슬라이딩,4000,1200,1,lx-vf70-s,
apt-40-exp-livingroom,40,확장형,거실,1,이중창,4000,2400,1,lx-vf80-d,
apt-40-exp-masterroom,40,확장형,안방,2,이중창,2000,1600,1,lx-vf90-d,
apt-40-exp-bedroom1,40,확장형,침실1,3,이중창,1600,1400,1,lx-vf80-d,
apt-40-exp-bedroom2,40,확장형,침실2,4,이중창,1600,1400,1,lx-vf80-d,
apt-40-exp-bedroom3,40,확장형,침실3,5,이중창,1400,1200,1,lx-vf80-d,
apt-40-exp-kitchen,40,확장형,주방,6,슬라이딩,2200,1200,1,lx-vf70-s,
apt-40-exp-utility,40,확장형,다용도실,7,슬라이딩,1600,1000,1,lx-vf70-s,
apt-40-exp-dressroom,40,확장형,드레스룸,8,이중창,1200,1200,1,lx-vf80-d,
apt-40-exp-masterbalcony,40,확장형,안방발코니,9,시스템창호,3200,2200,1,lx-smartbalcony,
apt-40-exp-turningdoor,40,확장형,터닝도어,10,폴딩도어,3600,2400,1,lx-vf100-fd,
apt-50-nexp-livingroom,50,비확장형,거실,1,슬라이딩,4200,2400,1,lx-vf80-d,
apt-50-nexp-masterroom,50,비확장형,안방,2,이중창,2200,1600,1,lx-vf90-d,
apt-50-nexp-bedroom1,50,비확장형,침실1,3,이중창,1800,1400,1,lx-vf80-d,
apt-50-nexp-bedroom2,50,비확장형,침실2,4,이중창,1800,1400,1,lx-vf80-d,
apt-50-nexp-bedroom3,50,비확장형,침실3,5,이중창,1600,1400,1,lx-vf80-d,
apt-50-nexp-bedroom4,50,비확장형,침실4,6,이중창,1400,1200,1,lx-vf80-d,
apt-50-nexp-kitchen,50,비확장형,주방,7,슬라이딩,2400,1200,1,lx-vf70-s,
apt-50-nexp-utility,50,비확장형,다용도실,8,슬라이딩,1800,1000,1,lx-vf70-s,
apt-50-nexp-dressroom,50,비확장형,드레스룸,9,이중창,1400,1200,1,lx-vf80-d,
apt-50-nexp-study,50,비확장형,서재,10,이중창,1400,1200,1,lx-vf80-d,
apt-50-nexp-balcony,50,비확장형,발코니,11,슬라이딩,5000,1200,1,lx-vf70-s,
apt-50-exp-livingroom,50,확장형,거실,1,이중창,4800,2600,1,lx-vf80-d,
apt-50-exp-masterroom,50,확장형,안방,2,이중창,2200,1600,1,lx-vf90-d,
apt-50-exp-bedroom1,50,확장형,침실1,3,이중창,1800,1400,1,lx-vf80-d,
apt-50-exp-bedroom2,50,확장형,침실2,4,이중창,1800,1400,1,lx-vf80-d,
apt-50-exp-bedroom3,50,확장형,침실3,5,이중창,1600,1400,1,lx-vf80-d,
apt-50-exp-bedroom4,50,확장형,침실4,6,이중창,1400,1200,1,lx-vf80-d,
apt-50-exp-kitchen,50,확장형,주방,7,슬라이딩,2400,1200,1,lx-vf70-s,
apt-50-exp-utility,50,확장형,다용도실,8,슬라이딩,1800,1000,1,lx-vf70-s,
apt-50-exp-dressroom,50,확장형,드레스룸,9,이중창,1400,1200,1,lx-vf80-d,
apt-50-exp-study,50,확장형,서재,10,이중창,1400,1200,1,lx-vf80-d,
apt-50-exp-masterbalcony,50,확장형,안방발코니,11,시스템창호,3600,2400,1,lx-smartbalcony,
apt-50-exp-turningdoor,50,확장형,터닝도어,12,폴딩도어,4200,2600,1,lx-vf100-fd,
